,discoverymethod,st_spectype,pl_bmassj,pl_orbper,hostname,pl_radj
0,Microlensing,,0.79,,OGLE-2016-BLG-1227L,1.24
1,Radial Velocity,M3.5 Ve,0.04153,9.567,GJ 480,0.33
2,Transit,,0.052,31.884,Kepler-276,0.259
3,Transit,,0.016,6.88337562,Kepler-829,0.188
4,Transit,,0.0383,1.921036,K2-283,0.314
5,Transit,,0.0155,11.11990653,Kepler-477,0.185
6,Transit,G5,1.94,10.8635,HAT-P-15,1.06
7,Radial Velocity,G0,1.33,4.07182,HD 149143,1.22
8,Radial Velocity,K1 III,1.808,354.1,HD 210702,1.2
9,Radial Velocity,M0,0.36,57.435,HIP 12961,1.18
10,Transit,G8 V,1.19,4.1877558,XO-5,1.14
11,Radial Velocity,K0,1.681,779.9,HD 5608,1.2
12,Radial Velocity,K0 V,3.74,4375.0,HD 95872,1.16
13,Microlensing,,0.066,,OGLE-2015-BLG-0966L,0.433
14,Transit,G5,0.899,2.9776412,WASP-123,1.318
15,Radial Velocity,G8.5V,0.01237,162.87,tau Cet,0.161
16,Transit,,0.0171,12.11839,K2-254,0.195
17,Radial Velocity,K0 V,0.02665,42.378,HD 26965,0.254
18,Transit,,0.00879,0.70531,K2-282,0.132
19,Eclipse Timing Variations,,14.15,3225.0,NSVS 14256825,1.1
20,Transit,,0.00553,6.48021673,Kepler-1390,0.105
21,Transit,,0.00733,14.613612,Kepler-393,0.119
22,Transit,,0.021,47.332773,Kepler-263,0.22
23,Transit,,0.00869,5.86601526,Kepler-1431,0.131
24,Transit,,0.0157,8.103636,Kepler-237,0.186
25,Transit,,0.0354,84.703921,Kepler-1510,0.3
26,Transit,,0.0172,13.767102,Kepler-169,0.196
27,Transit,,0.25,42.882,Kepler-145,0.385
28,Transit,,0.0394,22.714613,Kepler-219,0.319
29,Transit,,0.0015,2.36436901,Kepler-910,0.073
30,Transit,,0.00687,1.06378867,Kepler-1037,0.114
31,Transit,,0.0102,20.16034462,Kepler-992,0.145
32,Transit,,0.037,4.754,Kepler-113,0.162
33,Transit,,0.0336,187.747029,Kepler-1097,0.291
34,Transit,,0.00724,5.262155,Kepler-382,0.118
35,Transit,,0.00839,0.67933627,Kepler-1310,0.128
36,Transit,,13.8,1.4079405,WD 1856+534,0.928
37,Radial Velocity,K1.5 III,3.88,479.1,42 Dra,1.16
38,Radial Velocity,G5 V,0.057,38.021,61 Vir,0.398
39,Radial Velocity,G5V,7.49,116.688,70 Vir,1.13
40,Transit,,0.029,9.946047,Kepler-255,0.267
41,Transit,G4 V,0.426,3.00265,K2-60,0.683
42,Transit,M0 V,10.41,16.3850021,Kepler-52,0.164
43,Transit,,0.0295,6.308205,Kepler-248,0.269
44,Radial Velocity,K0 IV,1.99,452.8,24 Sex,1.19
45,Radial Velocity,K0 IV,0.86,883.0,24 Sex,1.24
46,Radial Velocity,G0 V,0.07866,102.54,rho CrB,0.48
47,Transit,F9,0.662,3.332687,HAT-P-43,1.281
48,Astrometry,L1.5,28.5,246.36,DENIS-P J082303.1-491201,1.06
49,Radial Velocity,G8,9.18,124.6,HIP 63242,1.12
50,Imaging,G0 V,4.0,,GJ 504,1.16
51,Imaging,M3.5 V,24.5,,2MASS J01225093-2439505,1.0
52,Imaging,,7.5,,WD 0806-661,1.13
53,Eclipse Timing Variations,M,4.2,4343.5,RR Cae,1.16
54,Transit,G,0.672,3.1810781,HATS-28,1.194
55,Eclipse Timing Variations,,1.9,416.0,2MASS J19383260+4603591,1.2
56,Transit,F,0.53,4.637038,HATS-27,1.5
57,Transit,G9 V,2.17,1.74748753,HATS-15,1.105
58,Radial Velocity,M2.5,0.0208,14.207,GJ 3341,0.219
59,Radial Velocity,M5.5 V,0.463,203.59,GJ 3512,1.27
60,Radial Velocity,M3 V,0.0497,5.3686,GJ 581,0.366
61,Radial Velocity,G8V,0.141,259.88,55 Cnc,0.677
62,Transit,,0.00306,3.96151,K2-50,0.089
63,Transit,,0.00714,8.050722,K2-168,0.117
64,Transit,G8 IV/V,0.02753,3.5951,EPIC 249893012,0.174
65,Transit,G8 IV/V,0.04616,15.624,EPIC 249893012,0.327
66,Radial Velocity,M2.5,0.02391,48.1345,GJ 3293,0.238
67,Radial Velocity,M4,0.02331,15.509,GJ 3473,0.235
68,Radial Velocity,M1,0.0197,13.74,GJ 3998,0.212
69,Radial Velocity,K3 V,0.04,5.6,BD-08 2823,0.322
70,Radial Velocity,K0 V,0.59,3.48777,BD-10 3166,1.26
71,Radial Velocity,G5 IV/V,9.78,714.29999,BD-13 2130,1.11
72,Radial Velocity,K3 V,0.00881,10.86499,HD 215152,0.132
73,Imaging,K2 V,13.5,,AB Pic,1.1
74,Transit,K5 V,0.01271,6.2014698,GJ 9827,0.18
75,Transit,K4,0.211,3.2130598,HAT-P-12,0.959
76,Transit,F5 V,3.0,6.180235,EPIC 246851721,1.051
77,Imaging,,10.5,10037.5,CFBDSIR J145829+101343,1.11
78,Transit,F9 V,7.6,1.51214,CoRoT-14,1.09
79,Transit,,0.0111,4.50756,EPIC 206024342,0.152
80,Transit,,0.0021,2.25372,EPIC 206215704,0.08
81,Transit,,0.00727,2.28943,EPIC 212297394,0.118
82,Transit,,0.01,34.885,EPIC 212499991,0.143
83,Transit,K3,0.0242,65.55,EPIC 212737443,0.24
84,Radial Velocity,M2 V,0.02014,24.329,GJ 180,0.215
85,Radial Velocity,M1/M2 V,0.02667,526.115,GJ 229,0.254
86,Radial Velocity,M0,0.03304,257.8,GJ 3138,0.288
87,Radial Velocity,M1.5,0.04373,3.3366496,GJ 3470,0.408
88,Radial Velocity,G3 IV,0.0922,1291.5646,HD 134060,0.527
89,Radial Velocity,G4 V,0.01454,11.57779,HD 136352,0.132
90,Radial Velocity,M1.5 V,0.01901,7.3705,GJ 433,0.208
91,Radial Velocity,M2V,0.01643,36.059,GJ 433,0.191
92,Radial Velocity,M2.5 V,0.07,2.64388312,GJ 436,0.372
93,Transit,K5 V,0.00264,3.6480957,GJ 9827,0.111
94,Radial Velocity,G4,14.28,446.27,HAT-P-13,1.1
95,Transit,F5 V,3.44,4.62767,HAT-P-14,1.42
96,Transit,,1.169,2.797436,HAT-P-37,1.178
97,Transit,G3 V,2.9,9.06005,CoRoT-30,1.009
98,Transit,,0.48,4.45724,HAT-P-40,1.52
99,Transit,G7,0.309,4.2180278,HAT-P-51,1.293
100,Transit,F,2.39,3.142702,HATS-12,0.692
101,Transit,,0.353,4.1480467,HATS-49,0.765
102,Transit,,0.76,2.5441828,HATS-54,1.067
103,Radial Velocity,G1 V,0.03697,16.357,HD 10180,0.308
104,Radial Velocity,K0,4.94,127.58,HD 102272,1.15
105,Radial Velocity,G4 V,0.04531,149.61,HD 42618,0.347
106,Radial Velocity,K2 III,11.09,835.477,HD 110014,1.11
107,Radial Velocity,K0,1.8,896.0,HD 131496,1.2
108,Radial Velocity,K5 V,5.1,655.6,BD-17 63,1.15
109,Transit,G0 V,1.308,4.03519,CoRoT-13,0.885
110,Transit,K3 V,0.0034,2.71578,K2-16,0.092
111,Transit,,0.00352,4.1698,EPIC 201841433,0.093
112,Radial Velocity,F9.5 V,0.508,1255.5,HD 7449,1.27
113,Radial Velocity,K0,2.69,55.01292,HD 37605,1.18
114,Radial Velocity,K2.5 V,0.0299,20.432,HD 40307,0.272
115,Radial Velocity,G0,0.49,3.50927,HD 75289,1.27
116,Radial Velocity,G6 V,2.25,379.1,HD 73526,1.19
117,Radial Velocity,K1 IV-V,0.226,3.023573,HD 46375,0.894
118,Radial Velocity,K0.5 V,0.02473,15.299,HD 7924,0.243
119,Radial Velocity,G2 V,1.527,1211.17,HD 23127,1.21
120,Radial Velocity,G0,1.78,2058.0,HD 233832,1.2
121,Radial Velocity,M0.0 V,0.02168,13.671,HD 238090,0.225
122,Radial Velocity,G5 V,1.676,643.25,HD 160691,1.2
123,Radial Velocity,K0 III,1.547,847.0,HD 30856,1.21
124,Radial Velocity,F8 V,0.51,2.24571,HD 212301,1.27
125,Radial Velocity,G0/1 V,5.58,882.70001,HD 213240,1.14
126,Transit,G,0.02778,1.008035,HD 213885,0.156
127,Radial Velocity,K3 V,0.02,3.93404,HD 215497,0.214
128,Radial Velocity,G2/3IV,2.223,1334.28,HD 216437,1.19
129,Transit,,0.68,2.1500082,HAT-P-32,1.98
130,Transit,,1.056,3.646706,HAT-P-35,1.332
131,Transit,,0.05223,6.03607,HD 219666,0.42
132,Radial Velocity,K0 V,0.00812,6.6732,DMPP-3 A,0.126
133,Transit,,0.7,4.1876244,HATS-45,1.286
134,Transit,,0.243,3.1316666,HATS-48 A,0.8
135,Radial Velocity,G0,6.93,1531.0,HD 106252,1.13
136,Transit,G,0.01432,2.541,HD 110113,0.183
137,Radial Velocity,K2 V,0.162,36.07,HD 27894,0.735
138,Radial Velocity,G1 IV/V,1.16,1116.0,HD 28254,1.22
139,Radial Velocity,K2 V,0.03524,14.1815,HD 13808,0.299
140,Radial Velocity,G7 V Fe-1 CH-0.5,0.81,832.97,HD 4208,1.24
141,Radial Velocity,G2 V,1.97,6.27711,HD 68988,1.2
142,Radial Velocity,K0V,0.0321,8.667,HD 69830,0.283
143,Radial Velocity,K0,2.194,213.72,HD 180053,1.19
144,Radial Velocity,G6 IV,3.18,2278.0,HD 18015,1.17
145,Radial Velocity,G5,8.37,7462.0575,HD 181234,1.12
146,Transit,,0.668,3.2346996,Kepler-6,1.304
147,Transit,,0.186,4.22538451,Kepler-491,0.796
148,Radial Velocity,K0 III,2.54,564.1,HD 181342,1.18
149,Radial Velocity,K3 IV,0.02,9.3743,HD 181433,0.214
150,Radial Velocity,G2 IV,3.95,626.51599,HD 183263,1.16
151,Radial Velocity,G3 V,1.99,3810.0,HD 187123,1.19
152,Radial Velocity,G5 V,5.45,39.475,HD 72892,1.14
153,Transit,,1.017,3.308958,HD 202772 A,1.545
154,Imaging,G8 V,24.09,,HD 203030,1.07
155,Radial Velocity,F7 V,1.37,279.8,HD 205739,1.21
156,Radial Velocity,G8 V,0.0076,40.114,HD 20794,0.121
157,Radial Velocity,K3/4 IV,1.25,380.85001,HD 20868,1.22
158,Radial Velocity,G5,0.67,1558.0,HD 211810,1.25
159,Transit,M1 V,0.5,8.7522,Kepler-32,0.178
160,Transit,,0.0176,15.31299,Kepler-165,0.199
161,Transit,,0.00624,15.677563,Kepler-197,0.109
162,Radial Velocity,K0 V,0.6579,342.85,HD 45364,1.25
163,Radial Velocity,K0 IV,2.37,2732.0,HD 4732,1.19
164,Radial Velocity,G8 V,0.20734,84.288,HD 21411,0.85
165,Radial Velocity,G6 V,3.08,188.3,HD 73526,1.17
166,Radial Velocity,G5,1.112,1750.0,HD 73534,1.23
167,Radial Velocity,G2/G3,7.27,1001.70001,HD 81040,1.13
168,Radial Velocity,G7 V,0.056,45.791,HD 64114,0.393
169,Radial Velocity,K3 V,0.02297,22.717,HD 219134,0.117
170,Radial Velocity,F8,3.18,218.47,HD 220842,1.17
171,Transit,K0 IV/V,0.19,14.2767,HD 221416,0.836
172,Radial Velocity,G8 IV,1.61,1173.0,HD 221585,1.21
173,Radial Velocity,F8 V,9.03,1561.0,HD 23596,1.12
174,Radial Velocity,K7,6.0,4100.0,HD 238914,1.14
175,Radial Velocity,K1 III,3.93,415.4,HD 76920,1.16
176,Radial Velocity,K0 V,0.0061,5.3135,HD 20781,0.108
177,Radial Velocity,F8 V,4.85,2374.0,HD 67087,1.15
178,Radial Velocity,G5 V,2.03,5370.0,HD 65216,1.19
179,Radial Velocity,G8 V,2.43,2443.0,HD 290327,1.18
180,Radial Velocity,F8 V,1.22,1157.0,HD 30562,1.22
181,Radial Velocity,G5,1.927,356.21,HD 4313,1.2
182,Radial Velocity,K1,0.48,3.38773,HD 330075,1.27
183,Radial Velocity,F8,0.62,466.0,HD 31253,1.26
184,Radial Velocity,G2 V,0.0329,16.5535,HD 31527,0.288
185,Radial Velocity,M4.5 V,0.00831,8.929,GJ 1132,0.128
186,Radial Velocity,K0 V,0.1872,226.93,HD 45364,0.8
187,Transit,,0.0075,3.901287,K2-219,0.12
188,Radial Velocity,K2.5 V,0.0126,4.3123,HD 40307,0.163
189,Transit,M2.5 V,0.015,5.746007,G 9-40,0.181
190,Radial Velocity,K0,2.43,262.70862,HD 12661,1.18
191,Radial Velocity,G5,2.23,431.88,HD 4203,1.19
192,Radial Velocity,G5,9.61,3630.0,HD 106515 A,1.11
193,Radial Velocity,G3 V,1.118,2266.4,HD 220689,1.23
194,Transit,,0.00829,3.74910006,Kepler-773,0.128
195,Radial Velocity,G5 V,0.1,4.94737,HD 49674,0.553
196,Radial Velocity,G3 V,1.78,798.5,16 Cyg B,1.2
197,Radial Velocity,F6 V,13.82,335.10001,30 Ari B,1.1
198,Radial Velocity,K0IIIvar,2.3,589.64,HD 62509,1.19
199,Radial Velocity,M1 III,9.9,875.5,HD 208527,1.11
200,Radial Velocity,K7/M0 V,0.027,3.8728,BD-06 1339,0.254
201,Radial Velocity,G1 V,0.54,2391.0,47 UMa,1.27
202,Transit,G8 V,0.0319,38.3561,HD 191939,0.282
203,Radial Velocity,K1 IV,0.27,615.0,HD 7199,0.993
204,Imaging,,13.0,,SR 12 AB,1.1
205,Orbital Brightness Modulation,B,0.0021,0.342887,KOI-55,0.077
206,Radial Velocity,G0,2.71,422.9,HD 75898,1.18
207,Radial Velocity,G5,1.34,1807.0,HD 79498,1.22
208,Transit,,0.527,4.9816819,WASP-42,1.122
209,Transit,,0.0208,17.44490636,Kepler-751,0.219
210,Transit,,3.47,1.7429935,CoRoT-2,1.466
211,Radial Velocity,K2.0V,0.78,2690.0,eps Eri,1.24
212,Radial Velocity,G8 V,2.72,1532.0,HD 171238,1.18
213,Radial Velocity,G8,2.7,323.6,HD 173416,1.18
214,Transit,,0.0327,158.6853308,Kepler-782,0.286
215,Radial Velocity,K0 IV,0.05,5.7361,HD 77338,0.368
216,Radial Velocity,G6 V,3.37,133.71,GJ 3021,1.17
217,Radial Velocity,M2.5,0.026,2.64561,GJ 3634,0.253
218,Radial Velocity,M2.5,0.035,4.6938,GJ 674,0.297
219,Radial Velocity,K0,3.19,2720.0,HD 37605,1.17
220,Radial Velocity,M2.5V,0.046,124.26,GJ 876,0.35
221,Imaging,K7e V,20.0,,GQ Lup,3.0
222,Imaging,M1,13.5,,GSC 06214-00210,1.8
223,Radial Velocity,G6 IV,0.06,17.111,HD 190360,0.409
224,Radial Velocity,G5 V,1.985,1176.45,HD 190647,1.19
225,Radial Velocity,K0,1.11,137.48,BD+15 2940,1.23
226,Imaging,A8 III,5.0,,HD 95086,1.15
227,Transit,,0.174,17.232366,Kepler-123,0.262
228,Transit,K1,0.292,4.008778,HAT-P-19,1.132
229,Radial Velocity,G8 IV,1.214,852.5,HD 200964,1.22
230,Transit,G0 V,3.216,4.175186,HATS-36,1.153
231,Transit,G5 V,2.47,3.21222,HAT-P-22,1.15
232,Radial Velocity,K0 III,2.036,673.2,HD 206610,1.19
233,Radial Velocity,G8 V,0.0085,18.315,HD 20794,0.129
234,Transit,,4.5,2.4855335,OGLE2-TR-L9,1.61
235,Transit,K4 V,1.26,1.4324752,OGLE-TR-113,1.093
236,Transit,,0.0197,34.260281,Kepler-166,0.212
237,Transit,K5 V,0.335,4.024867,K2-295,0.897
238,Transit,F4,0.92,3.47447,HAT-P-33,1.85
239,Radial Velocity,G9 III,1.61,157.57001,HD 100655,1.21
240,Radial Velocity,G0 V,1.29,442.19,HD 210277,1.22
241,Radial Velocity,G8 V,0.0259,22.6786,HD 21693,0.25
242,Radial Velocity,G1 V,0.0752,122.744,HD 10180,0.468
243,Radial Velocity,G1 V,0.0673,604.67,HD 10180,0.438
244,Transit,,1.24,3.1186,WASP-16,1.22
245,Transit,G9 V,0.04657,50.818947,K2-263,0.215
246,Radial Velocity,K2.5 V,0.02888,16.8191,HD 176986,0.266
247,Transit,G,0.613,4.2986432,HATS-25,1.26
248,Radial Velocity,M1,0.08983,86.78,HD 147379,0.519
249,Radial Velocity,M1.5 V,0.00846,12.946,GJ 411,0.129
250,Radial Velocity,M1,0.00953,11.4407,GJ 15 A,0.139
251,Radial Velocity,G9 III,7.8,1455.0,HD 14067,1.12
252,Radial Velocity,M1,0.00777,2.64977,GJ 3998,0.123
253,Transit,,0.0107,2.50387,K2-294,0.148
254,Radial Velocity,G2/G3 V,16.88,10354.8375,HD 92987,1.09
255,Radial Velocity,M2.5,0.06636,122.6196,GJ 3293,0.434
256,Imaging,F5 V,30.0,,HR 2562,1.11
257,Transit,M0.0 V,0.0145,3.67626,K2-154,0.178
258,Transit,K7,0.0134,40.718,K2-155,0.17
259,Transit,,0.62927,34.556,TOI-216,1.007
260,Radial Velocity,K0,2.28,2730.0,HD 145934,1.19
261,Transit,F7,0.805,2.1746742,WASP-92,1.461
262,Transit,F4,1.47,2.7325321,WASP-93,1.597
263,Radial Velocity,F5 V,4.51,825.9,HD 111998,1.15
264,Microlensing,,0.01029,,OGLE-2017-BLG-0173L,0.145
265,Transit,,1.59,3.2642736,HATS-40,1.58
266,Radial Velocity,K1 IV,3.62,2149.0,HD 1605,1.16
267,Transit,,0.0233,17.028937,Kepler-265,0.235
268,Radial Velocity,,5.61,1002.0,Kepler-56,1.14
269,Radial Velocity,G8 IV,1.11,1179.0,HD 9174,1.23
270,Radial Velocity,G3 IV,0.91,30.3506,24 Boo,1.24
271,Transit,,0.00459,1.22486632,Kepler-756,0.1
272,Transit,,0.837,1.915291,HATS-9,1.236
273,Radial Velocity,G8 V,2.89,434.5,HD 165155,1.18
274,Microlensing,,1.59,,OGLE-2017-BLG-1140L,1.21
275,Transit,M3.0 V,0.0043,5.24,K2-239,0.098
276,Transit,,0.00082,2.13174,EPIC 201497682,0.062
277,Transit,,0.00317,2.87814,EPIC 206032309,0.09
278,Transit,,0.138,3.583893,HATS-8,0.873
279,Microlensing,,3.09,,OGLE-2014-BLG-0676L,1.17
280,Radial Velocity,M2.5 V,0.03843,105.911,HD 180617,0.315
281,Radial Velocity,K7,11.6,8.9891,CI Tau,1.11
282,Transit,G9 V,0.05003,11.90715,K2-19,0.434
283,Radial Velocity,G8 V,7.6,11613.0,HD 30177,1.13
284,Transit,G5 V,0.02429,0.571331,EPIC 220674823,0.162
285,Transit,,2.132,3.3098443,WASP-53,1.074
286,Transit,,0.0116,13.81513,K2-252,0.155
287,Transit,,0.921,4.2042001,HATS-55,1.251
288,Transit,,3.147,2.350621,HATS-57,1.139
289,Radial Velocity,A5V,9.0,1200.0,bet Pic,1.12
290,Transit,F8,2.31,2.79083,HAT-P-56,1.51
291,Transit,,0.00104,18.767,TRAPPIST-1,0.067
292,Radial Velocity,M0,0.0056,1.22003,GJ 3138,0.106
293,Radial Velocity,F8,1.23,328.55,HD 148164,1.22
294,Imaging,K7,2.0,,PDS 70,2.04
295,Radial Velocity,,0.82,258.8,Kepler-65,1.24
296,Transit,M0 V,1.4,0.381078,K2-22,0.223
297,Radial Velocity,K0,12.89,535.59998,HD 24064,1.1
298,Transit,,0.00091,7.814,K2-266,0.063
299,Microlensing,,0.11,,KMT-2017-BLG-0165L,0.575
300,Transit,,0.127,394.6244904,Kepler-849,0.637
301,Transit,G5 V,1.9,1.4013794,WASP-135,1.3
302,Radial Velocity,K1 III,11.1,2556.5,HIP 67537,1.11
303,Imaging,,,,LkCa 15,
304,Eclipse Timing Variations,,23.7,760.0,MXB 1658-298,1.07
305,Microlensing,,0.62,,MOA-2016-BLG-319L,1.26
306,Microlensing,,0.057,,MOA-2011-BLG-291L,0.396
307,Radial Velocity,K0 III,5.97,834.0,HD 33142,1.14
308,Radial Velocity,G5 V,1.09,5.0505,HIP 91258,1.23
309,Radial Velocity,G5,1.061,153.22,BD+15 2375,1.23
310,Transit,M1.0 V,0.0154,5.444017,K2-117,0.184
311,Transit,,0.017,21.750264,K2-125,0.194
312,Transit,F8 IV,2.26,2.72474,CoRoT-21,1.3
313,Radial Velocity,G5,1.121,676.6,HD 14787,1.23
314,Radial Velocity,G5 V,0.4,5.118,NGC 2682 YBP 1514,1.25
315,Radial Velocity,M5,0.21414,532.58,GJ 1148,0.866
316,Transit,,3.4,7.817953,HATS-61,1.195
317,Transit,G5,0.52,4.20474,CoRoT-26,1.26
318,Transit,G7 V,0.73,3.2588321,K2-29,1.19
319,Microlensing,M V,0.47,,OGLE-2012-BLG-0724L,1.27
320,Transit,M0.5,0.812,2.647298,NGTS-1,1.33
321,Transit,K5.5,0.00849,25.575065,K2-136,0.129
322,Radial Velocity,G6 V,3.76,325.803,HD 92788,1.16
323,Transit,,0.892,3.128992,HAT-P-45,1.426
324,Radial Velocity,K4 III,7.8,605.2,bet Cnc,1.12
325,Radial Velocity,K2 III,2.4,357.8,mu Leo,1.18
326,Radial Velocity,G0,20.3,1854.4,HD 214823,1.08
327,Transit,,1.51968,1107.5923,Kepler-1647,1.059
328,Radial Velocity,K0 III,4.4,1056.4,HD 111591,1.15
329,Transit,K5,0.00474,14.64558,Kepler-80,0.101
330,Transit Timing Variations,,7.3,675.47,Kepler-419,1.13
331,Radial Velocity,G0 V,2.71,5894.0,HD 150706,1.18
332,Imaging,M7.5,11.2,,VHS J125601.92-125723.9,1.11
333,Radial Velocity,K0 III,5.0,613.2,HD 112640,1.15
334,Transit,,0.0182,41.008011,Kepler-121,0.203
335,Transit,,0.00328,8.457458,Kepler-130,0.091
336,Transit,,0.0101,6.92101021,Kepler-1048,0.144
337,Transit,,0.012,10.3117,Kepler-102,0.105
338,Transit,,0.00714,1.92279873,Kepler-821,0.117
339,Transit,,0.097,127.8338098,Kepler-820,0.543
340,Transit,,0.00669,6.919798,Kepler-162,0.112
341,Transit,,0.0154,5.687945,Kepler-183,0.184
342,Imaging,M6,13.9,,2MASS J02192210-3925225,1.44
343,Transit,,0.0168,11.35011917,Kepler-1009,0.194
344,Transit,K7,0.0407,4.066499,TOI-1130,0.326
345,Transit,,0.0253,33.1995648,Kepler-819,0.246
346,Transit,,0.0244,23.58447697,Kepler-811,0.241
347,Transit,,0.00651,1.796302,Kepler-286,0.111
348,Transit,,0.023,15.660544,Kepler-214,0.233
349,Transit,,0.0442,11.379349,Kepler-232,0.342
350,Transit,,0.0221,16.87727414,Kepler-961,0.227
351,Transit,,0.0288,116.331901,Kepler-985,0.266
352,Transit,F9,0.855,3.899052,WASP-176,1.505
353,Transit,,0.0139,14.37457351,Kepler-804,0.173
354,Transit,,0.014,15.955387,Kepler-330,0.174
355,Radial Velocity,M0.0 V,0.03231,24.45,GJ 338 B,0.284
356,Transit,,0.00678,0.89304124,Kepler-732,0.113
357,Transit,,1.465,1.09142,WASP-12,1.937
358,Transit,,0.00859,1.41122985,Kepler-1019,0.13
359,Radial Velocity,F7 V,8.35,256.78,HD 89744,1.12
360,Transit,,0.01,1.21956827,Kepler-842,0.143
361,Transit,,0.57,21.40239,Kepler-56,0.874
362,Transit,,0.155,35.736,Kepler-279,0.384
363,Transit,,0.03,14.5539759,Kepler-791,0.272
364,Transit,,0.265,30.36044667,Kepler-486,0.981
365,Transit,,0.0235,48.630408,Kepler-127,0.236
366,Transit,G2 V,0.56,1.8555582,Kepler-41,1.29
367,Transit,,0.0204,53.5293487,Kepler-786,0.217
368,Transit,,0.0283,9.94067247,Kepler-465,0.263
369,Transit,,0.0184,3.12686223,Kepler-960,0.204
370,Transit,,0.06922,68.9584,Kepler-409,0.106
371,Radial Velocity,M0V:,0.05097,69.971,GJ 2056,0.372
372,Imaging,M5.5/M6,13.0,,2MASS J01033563-5515561 A,1.1
373,Microlensing,,1.25,,KMT-2019-BLG-1339L,1.22
374,Transit,,0.021,5.902206,Kepler-82,0.22
375,Transit,,0.0105,3.33616,Kepler-247,0.146
376,Transit,M,0.00041,1.865169,Kepler-42,0.051
377,Transit,,0.0281,33.7888,Kepler-1673,0.262
378,Transit,,0.0282,24.7576421,Kepler-1041,0.262
379,Transit,,0.0137,8.205,K2-322,0.171
380,Transit,,0.0159,24.93,K2-323,0.187
381,Transit,,0.0516,20.74028413,KIC 9663113,0.375
382,Transit,,0.0143,12.05707239,Kepler-962,0.176
383,Transit,G,0.0308,5.6057,TOI-763,0.203
384,Transit,M V,0.00212,1.2391491,TOI-540,0.081
385,Transit,M0 V,0.00201,1.937055,Kepler-303,0.079
386,Transit,,0.0118,32.2968798,Kepler-916,0.157
387,Transit,,0.22339,134.4628,KOI-1783,0.79
388,Transit,,0.00829,12.758005,Kepler-334,0.128
389,Transit,M4,0.00585,1.1980035,GJ 3473,0.113
390,Transit,,0.00217,2.0478,EPIC 201757695,0.081
391,Transit,,0.0183,3.94963138,Kepler-861,0.203
392,Transit,,0.0353,20.4998,Kepler-1670,0.299
393,Transit,,0.0277,4.544439,Kepler-325,0.26
394,Transit,F,4.22,5.026799,WASP-186,1.11
395,Radial Velocity,G2,0.03555,15.6785,K2-111,0.301
396,Transit,,8.4,6.790123,Kepler-14,1.136
397,Transit,,0.0313,23.668205,Kepler-104,0.279
398,Transit,,0.0179,40.714955,Kepler-300,0.201
399,Radial Velocity,M0.5 V,0.0409,15.819,GJ 27.1,0.327
400,Radial Velocity,G3/5V,0.05,122.1,HD 102365,0.369
401,Transit,,0.0193,7.240193,Kepler-306,0.21
402,Transit,,0.018,12.12400943,Kepler-1034,0.202
403,Radial Velocity,K1III(+M),0.87,996.0,7 CMa,1.24
404,Transit,,2.35,4.08605,WASP-66,1.4
405,Transit,G3 V,0.0306,19.590025,HD 108236,0.275
406,Transit,,124.0,3.12082923,Kepler-488,1.409
407,Transit,,0.01447,20.4415,KOI-1599,0.17
408,Transit,M1 V,0.72,10.9129343,Kepler-49,0.227
409,Transit,,0.345,5.524242,Kepler-317,0.186
410,Transit,,0.00729,4.16787,Kepler-1671,0.118
411,Radial Velocity,G5,0.2,1728.0,HD 220197,0.832
412,Transit,,0.0236,6.885875,Kepler-299,0.236
413,Transit,,0.00624,12.645164,Kepler-295,0.109
414,Transit,,0.0111,9.176092,Kepler-311,0.152
415,Transit,,0.0182,41.805985,Kepler-759,0.203
416,Transit,,0.016,41.6979976,Kepler-906,0.188
417,Transit,,0.0313,14.53244172,Kepler-955,0.279
418,Transit,,0.0287,150.878,Kepler-1672,0.265
419,Transit,F8 V,0.0325,10.18271,HD 110082,0.285
420,Transit,,0.064,12.883,Kepler-84,0.211
421,Transit,,0.096,13.726976,Kepler-338,0.218
422,Transit,,0.0132,12.00096042,Kepler-1221,0.168
423,Transit,,0.00459,22.597053,Kepler-384,0.1
424,Transit,,0.0249,10.04156,Kepler-221,0.244
425,Transit,,0.0139,27.5722742,Kepler-1348,0.173
426,Transit,,0.008,7.416397,Kepler-329,0.125
427,Transit,,0.00951,18.010199,Kepler-132,0.138
428,Transit,,0.042,15.163161,Kepler-385,0.271
429,Transit,M1 V,0.00201,23.0881,Kepler-138,0.108
430,Transit,,0.0094,3.292781,Kepler-337,0.137
431,Transit,,2.7,10.7421,Kepler-23,0.285
432,Transit,,0.0186,8.67888593,Kepler-1073,0.205
433,Transit,,0.019,52.0902,Kepler-79,0.639
434,Transit,M4,0.00899,1.565409,Kepler-446,0.13
435,Transit,,0.02549,23.9802,Kepler-106,0.085
436,Transit,M0 V,0.00606,20.837846,Kepler-81,0.108
437,Transit,,0.0256,4.9195838,Kepler-480,0.248
438,Transit,,4.7,42.6318,Kepler-31,0.473
439,Transit,,0.0266,13.28535633,Kepler-527,0.253
440,Transit,,0.00761,13.060855,Kepler-262,0.121
441,Transit,,0.00819,1.52372816,Kepler-1075,0.127
442,Transit,,0.007,45.154,Kepler-51,0.633
443,Transit,,0.052,14.85888,Kepler-18,0.623
444,Transit,,0.12,38.58422849,Kepler-522,0.616
445,Transit,,0.019,16.79713874,Kepler-436,0.208
446,Transit,,0.0139,15.36262753,Kepler-1384,0.173
