,discoverymethod,st_spectype,pl_bmassj,pl_orbper,hostname,pl_radj
4133,Transit,,0.0502,3.70987065,Kepler-697,0.368
4134,Transit,,0.0218,5.15448442,Kepler-727,0.226
4135,Transit,,0.0176,10.94027841,Kepler-587,0.199
4136,Transit,,0.0163,14.28226676,Kepler-622,0.19
4137,Transit,,0.0258,38.715185,Kepler-325,0.249
4138,Transit,G9 V,0.01699,10.779,TOI-561,0.257
4139,Transit,F8,1.236,11.2366,TOI-677,1.17
4140,Transit,G9,0.502,4.1117771,WASP-183,1.47
4141,Transit,,0.884,2.9444256,WASP-23,0.962
4142,Transit,,0.04625,49.40926,Kepler-177,0.779
4143,Transit,,2.36,5.370647,Kepler-203,0.22
4144,Transit,,0.0263,14.646008,Kepler-281,0.252
4145,Transit,,0.00474,3.250619,Kepler-169,0.101
4146,Transit,,0.0142,13.98179,Kepler-174,0.175
4147,Transit,,0.0255,30.133001,Kepler-251,0.247
4148,Transit,G3 V,3.27,2.686502,HATS-16,1.3
4149,Transit,,0.00459,15.2841,EPIC 212587672,0.1
4150,Radial Velocity,M3.5 V,0.03483,20.129,GJ 422,0.297
4151,Transit,,2.27,5.00542,HAT-P-31,1.09
4152,Transit,G3 V,0.0155,6.203449,HD 108236,0.185
4153,Transit,,0.0274,13.2140732,Kepler-781,0.258
4154,Transit,,1.01,16.33889626,Kepler-643,0.906
4155,Transit,,0.057,16.08066115,Kepler-636,0.397
4156,Transit,,0.0218,62.9228557,Kepler-903,0.226
4157,Transit,F8 V,1.49,0.925542,WASP-103,1.528
4158,Transit,F8,0.5,3.95019,WASP-94 A,1.58
4159,Transit,F1 V,0.47,5.477433,WASP-172,1.57
4160,Transit,,0.85,2.7566,WASP-26,1.21
4161,Transit,M(6.1+/-0.7) V,0.00459,0.948005,LP 791-18,0.1
4162,Transit,M3 V,0.0247,5.07803,TOI-122,0.243
4163,Transit,,0.0166,3.38802,Kepler-256,0.192
4164,Transit,,0.0102,122.363553,Kepler-1599,0.145
4165,Transit,,0.031,23.637604,Kepler-199,0.277
4166,Transit,,0.0269,16.665863,Kepler-170,0.255
4167,Transit,,0.0057,1.53818844,Kepler-1565,0.106
4168,Transit,,0.0609,4.03046804,Kepler-553,0.413
4169,Transit,,0.023,10.62784997,Kepler-1147,0.233
4170,Radial Velocity,G8 V,10.39,5501.0,HD 219077,1.11
4171,Radial Velocity,G2/3V,1.959,220.078,HD 82943,1.2
4172,Eclipse Timing Variations,,5.9,2390.0,HU Aqr,1.14
4173,Transit,,0.0174,36.5156053,Kepler-1026,0.197
4174,Transit,,0.0223,16.56059504,Kepler-837,0.228
4175,Radial Velocity,G5,1.0,341.2,HD 75784,1.23
4176,Transit,K1 V,0.22,6.21229,CoRoT-8,0.57
4177,Transit,G4 V,0.0112,242.4613,Kepler-69,0.153
4178,Transit,M3 V,0.00761,3.6904,L 98-59,0.12
4179,Transit,,0.00521,29.6091744,Kepler-1424,0.103
4180,Transit Timing Variations,,0.04122,28.731,Kepler-19,0.328
